Denominazione,Tipologia,Regione,Provincia,Comune,Esito,Data Aggiornamento,noindex,Link
Comune di Artogne,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Artogne,positivo,17/03/2019 02:05:14,x,http://www.comune.artogne.bs.it/Pages/amministrazione_trasparente_v3_0/
Comune di Berzo Demo,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Berzo Demo,positivo,17/03/2019 02:05:14,x,http://www.comune.berzo-demo.bs.it/Pages/amministrazione_trasparente_v3_0/
Comune di Berzo Inferiore,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Berzo Inferiore,positivo,17/03/2019 02:05:14,x,http://www.comune.berzo-inferiore.bs.it/Pages/amministrazione_trasparente_v3_0
Comune di Bienno,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Bienno,positivo,17/03/2019 02:05:14,x,http://www.comune.bienno.bs.it/Pages/amministrazione_trasparente_v3_0/
ISTITUTO COMPRENSIVO - IST. COMPR. DI BIENNO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Brescia,Bienno,positivo,17/03/2019 02:05:14,x,http://icbienno.alboscuole.voli.bs.it/pages/amministrazione_trasparente_v3_0/
Comune di Borno,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Borno,positivo,17/03/2019 02:05:14,x,http://www.comune.borno.bs.it/Pages/amministrazione_trasparente_v3_0/
ISTITUTO COMPRENSIVO - ISTITUTO COMPRENSIVO BOTTICINO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Brescia,Botticino,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/BSIC872007/4
Comune di Braone,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Braone,positivo,17/03/2019 02:05:14,x,http://www.comune.braone.bs.it/Pages/amministrazione_trasparente_v3_0/
Comune di Breno,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Breno,positivo,17/03/2019 02:05:14,x,http://www.comune.breno.bs.it/Pages/amministrazione_trasparente_v3_0/
Comunita' Montana di Valle Camonica,Comunita` Montane e loro Consorzi e Associazioni,Lombardia,Brescia,Breno,positivo,17/03/2019 02:05:14,x,http://www.cmvallecamonica.bs.it/Pages/amministrazione_trasparente_v3_0/
Consorzio Comuni Bacino Imbrifero Montano di Valle Camonica,Consorzi di Bacino Imbrifero Montano,Lombardia,Brescia,Breno,positivo,17/03/2019 02:05:14,x,http://www.bimvallecamonica.bs.it/Pages/amministrazione_trasparente_v3_0/
ISTITUTO COMPRENSIVO - IC F.TONOLINI BRENO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Brescia,Breno,positivo,17/03/2019 02:05:14,x,http://icbreno.alboscuole.voli.bs.it/pages/amministrazione_trasparente_v3_0/
Istituto D'Istruzione Superiore F.Tassara - G.Ghislandi,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Brescia,Breno,positivo,17/03/2019 02:05:14,x,http://iistassara.alboscuole.voli.bs.it/pages/amministrazione_trasparente_v3_0/
LICEO SCIENTIFICO - ISTITUTO D'ISTRUZIONE SUPERIORE C.GOLGI,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Brescia,Breno,positivo,17/03/2019 02:05:14,x,http://albopretorio.liceogolgi.it/pages/amministrazione_trasparente_v3_0/
Unione Antichi Borghi di Vallecamonica,Unioni di Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Breno,positivo,17/03/2019 02:05:14,x,http://www.unioneantichiborghivallecamonica.bs.it/Pages/amministrazione_trasparente_v3_0/
ISTITUTO COMPRENSIVO - I. C. NORD 2 BRESCIA,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Brescia,Brescia,positivo,17/03/2019 02:05:14,x,https://www.icnord2brescia.edu.it/trasparenza/amministrazione-trasparente
ISTITUTO SUPERIORE -  GOLGI - BRESCIA,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Brescia,Brescia,positivo,17/03/2019 02:05:14,x,http://www.istitutogolgibrescia.edu.it/cms/amministrazione-trasparente/
Liceo Veronica Gambara,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Brescia,Brescia,positivo,17/03/2019 02:05:14,x,https://www.liceogambara.edu.it/trasparenza/amministrazione-trasparente
Comune di Capo di Ponte,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Capo di Ponte,positivo,17/03/2019 02:05:14,x,http://www.comune.capo-di-ponte.bs.it/Pages/amministrazione_trasparente_v3_0/
ISTITUTO COMPRENSIVO - IC CAPO DI PONTE P. DA CEMMO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Brescia,Capo di Ponte,positivo,17/03/2019 02:05:14,x,http://iccapodiponte.alboscuole.voli.bs.it/pages/amministrazione_trasparente_v3_0/
Unione Dei Comuni della Media Valle Camonica - Civilta' Delle Pietre,Unioni di Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Capo di Ponte,positivo,17/03/2019 02:05:14,x,http://www.unionemediavallecamonica.bs.it/Pages/amministrazione_trasparente_v3_0/
Comune di Cedegolo,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Cedegolo,positivo,17/03/2019 02:05:14,x,http://www.comune.cedegolo.bs.it/Pages/amministrazione_trasparente_v3_0/
Unione Dei Comuni della Valsaviore,Unioni di Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Cedegolo,positivo,17/03/2019 02:05:14,x,http://www.unionevalsaviore.bs.it/Pages/amministrazione_trasparente_v3_0/
Comune di Cerveno,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Cerveno,positivo,17/03/2019 02:05:14,x,http://www.comune.cerveno.bs.it/Pages/amministrazione_trasparente_v3_0/
Comune di Ceto,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Ceto,positivo,17/03/2019 02:05:14,x,http://www.comune.ceto.bs.it/Pages/amministrazione_trasparente_v3_0/
Consorzio Forestale Pizzo Badile,Gestori di Pubblici Servizi,Lombardia,Brescia,Ceto,positivo,17/03/2019 02:05:14,x,http://www.cfpizzobadile.it/pages/Amministrazione_Trasparente_v3_0/
"Riserva Naturale Incisioni Rupestri di Ceto, Cimbergo e Paspardo","Parchi Nazionali, Consorzi e Enti Gestori di Parchi e Aree Naturali Protette",Lombardia,Brescia,Ceto,positivo,17/03/2019 02:05:14,x,http://amministrazionedigitale.arterupestre.it/Pages/amministrazione_trasparente_v3_0/
Unione di Comuni Lombarda Ceto Cimbergo Paspardo,Unioni di Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Ceto,positivo,17/03/2019 02:05:14,x,http://www.unionecetocimbergopaspardo.bs.it/Pages/amministrazione_trasparente_v3_0/
Comune di Cevo,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Cevo,positivo,17/03/2019 02:05:14,x,http://www.comune.cevo.bs.it/Pages/amministrazione_trasparente_v3_0/
Comune di Cimbergo,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Cimbergo,positivo,17/03/2019 02:05:14,x,http://www.comune.cimbergo.bs.it/Pages/amministrazione_trasparente_v3_0/
Comune di Cividate Camuno,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Cividate Camuno,positivo,17/03/2019 02:05:14,x,http://www.comune.cividate-camuno.bs.it/Pages/amministrazione_trasparente_v3_0/
ISTITUTO COMPRENSIVO - I.C. CIVIDATE CAMUNO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Brescia,Cividate Camuno,positivo,17/03/2019 02:05:14,x,http://icividate.alboscuole.voli.bs.it/pages/amministrazione_trasparente_v3_0/
Comune di Comezzano Cizzago,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Comezzano-Cizzago,positivo,17/03/2019 02:05:14,x,https://www.halleyweb.com/c017060/index.php?servizio=29
Comune di Corteno Golgi,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Corteno Golgi,positivo,17/03/2019 02:05:14,x,http://www.comune.corteno-golgi.bs.it/Pages/amministrazione_trasparente_v3_0/
ISTRUZIONE SECONDARIA SUPERIORE - 'DANDOLO' - CORZANO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Brescia,Corzano,positivo,17/03/2019 02:05:14,x,http://www.iisdandolo.gov.it/trasparenza/
Comune di Darfo Boario Terme,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Darfo Boario Terme,positivo,17/03/2019 02:05:14,x,http://darfo.apps.ckube.it/Pages/amministrazione_trasparente_v3_0/
ISTITUTO COMPRENSIVO - IC I DARFO BOARIO TERME,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Brescia,Darfo Boario Terme,positivo,17/03/2019 02:05:14,x,http://icdarfo1.alboscuole.voli.bs.it/pages/amministrazione_trasparente_v3_0/
ISTITUTO COMPRENSIVO - ISTITUTO COMPRENSIVO DARFO 2,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Brescia,Darfo Boario Terme,positivo,17/03/2019 02:05:14,x,http://icdarfo2.alboscuole.voli.bs.it/pages/amministrazione_trasparente_v3_0/
ISTITUTO COMPRENSIVO - IC II TREBESCHI-DESENZANO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Brescia,Desenzano del Garda,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/BSIC8AB00G/8#new_tab
LICEO CLASSICO - 'BAGATTA' - DESENZANO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Brescia,Desenzano del Garda,positivo,17/03/2019 02:05:14,x,http://liceobagatta.istruzioneweb.it/
Comune di Edolo,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Edolo,positivo,17/03/2019 02:05:14,x,http://www.comune.edolo.bs.it/Pages/amministrazione_trasparente_v3_0/
ISTITUTO COMPRENSIVO - EDOLO CAP.,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Brescia,Edolo,positivo,17/03/2019 02:05:14,x,http://icedolo.alboscuole.voli.bs.it/pages/amministrazione_trasparente_v3_0/?a=17
ISTRUZIONE SECONDARIA SUPERIORE - 'MENEGHINI' - EDOLO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Brescia,Edolo,positivo,17/03/2019 02:05:14,x,http://istitutomeneghini.alboscuole.voli.bs.it/pages/amministrazione_trasparente_v3_0/
Unione Dei Comuni Delle Alpi Orobie Bresciane,Unioni di Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Edolo,positivo,17/03/2019 02:05:14,x,http://www.unionealpiorobiebresciane.bs.it/Pages/amministrazione_trasparente_v3_0/
ISTITUTO COMPRENSIVO - ISTITUTO COMPRENSIVO DI ESINE,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Brescia,Esine,positivo,17/03/2019 02:05:14,x,http://icesine.alboscuole.voli.bs.it/pages/amministrazione_trasparente_v3_0/
Comune di Gardone Riviera,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Gardone Riviera,positivo,17/03/2019 02:05:14,x,http://gardoneriviera.apps.ckube.it/Pages/Amministrazione_trasparente_v2_0/?Codice=AT
Comune di Gianico,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Gianico,positivo,17/03/2019 02:05:14,x,http://www.comune.gianico.bs.it/Pages/amministrazione_trasparente_v3_0
Comune di Incudine,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Incudine,positivo,17/03/2019 02:05:14,x,http://www.comune.incudine.bs.it/Pages/amministrazione_trasparente_v3_0/
ISTRUZIONE SECONDARIA SUPERIORE - 'ANTONIETTI' - ISEO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Brescia,Iseo,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/BSIS008004/6
Istituto Comprensivo Rita Levi Montalcini di Iseo,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Brescia,Iseo,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/BSIC80300R/3#new_tab
Comune di Losine,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Losine,positivo,17/03/2019 02:05:14,x,http://www.comune.losine.bs.it/Pages/amministrazione_trasparente_v3_0/
Comune di Lozio,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Lozio,positivo,17/03/2019 02:05:14,x,http://www.comune.lozio.bs.it/Pages/amministrazione_trasparente_v3_0/
Comune di Malegno,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Malegno,positivo,17/03/2019 02:05:14,x,http://www.comune.malegno.bs.it/Pages/amministrazione_trasparente_v3_0/
Comune di Malonno,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Malonno,positivo,17/03/2019 02:05:14,x,http://www.comune.malonno.bs.it/Pages/amministrazione_trasparente_v3_0
Comune di Marone,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Marone,positivo,17/03/2019 02:05:14,x,http://www.comune.marone.bs.it/Pages/amministrazione_trasparente_v3_0/
Comune di Monno,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Monno,positivo,17/03/2019 02:05:14,x,http://www.comune.monno.bs.it/Pages/amministrazione_trasparente_v3_0/
Comune di Monte Isola,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Monte Isola,positivo,17/03/2019 02:05:14,x,http://www.comune.monteisola.bs.it/Pages/amministrazione_trasparente_v2_0
Comune di Monticelli Brusati,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Monticelli Brusati,positivo,17/03/2019 02:05:14,x,http://www.comune.monticellibrusati.bs.it/Pages/amministrazione_trasparente_v2_0/
Comune di Niardo,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Niardo,positivo,17/03/2019 02:05:14,x,http://www.comune.niardo.bs.it/Pages/amministrazione_trasparente_v3_0/
Comune di Ono San Pietro,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Ono San Pietro,positivo,17/03/2019 02:05:14,x,http://www.comune.ono-san-pietro.bs.it/Pages/amministrazione_trasparente_v3_0/
Comune di Ossimo,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Ossimo,positivo,17/03/2019 02:05:14,x,http://www.comune.ossimo.bs.it/Pages/amministrazione_trasparente_v3_0/
Comune di Paisco Loveno,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Paisco Loveno,positivo,17/03/2019 02:05:14,x,http://www.comune.paisco-loveno.bs.it/Pages/amministrazione_trasparente_v3_0
Comune di Paspardo,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Paspardo,positivo,17/03/2019 02:05:14,x,http://www.comune.paspardo.bs.it/Pages/amministrazione_trasparente_v3_0/
Comune di Pian Camuno,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Pian Camuno,positivo,17/03/2019 02:05:14,x,http://www.comune.piancamuno.bs.it/Pages/amministrazione_trasparente_v3_0/
Unione Dei Comuni della Bassa Valle Camonica,Unioni di Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Pian Camuno,positivo,17/03/2019 02:05:14,x,http://www.unionebassavallecamonica.bs.it/Pages/amministrazione_trasparente_v3_0/
Comune di Piancogno,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Piancogno,positivo,17/03/2019 02:05:14,x,http://www.comune.piancogno.bs.it/Pages/amministrazione_trasparente_v3_0/
Comune di Pisogne,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Pisogne,positivo,17/03/2019 02:05:14,x,http://www.comune.pisogne.bs.it/Pages/amministrazione_trasparente_v3_0/
ISTITUTO COMPRENSIVO - IC TEN.PELLEGRINI PISOGNE,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Brescia,Pisogne,positivo,17/03/2019 02:05:14,x,http://icpisogne.alboscuole.voli.bs.it/pages/amministrazione_trasparente_v3_0/
Comune di Ponte di Legno,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Ponte di Legno,positivo,17/03/2019 02:05:14,x,http://www.comune.ponte-di-legno.bs.it/Pages/amministrazione_trasparente_v3_0/
ISTITUTO COMPRENSIVO - IC PONTE DI LEGNO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Brescia,Ponte di Legno,positivo,17/03/2019 02:05:14,x,http://icpontedilegno.alboscuole.voli.bs.it/pages/amministrazione_trasparente_v3_0/
Unione dei Comuni dell'Alta Valle Camonica,Unioni di Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Ponte di Legno,positivo,17/03/2019 02:05:14,x,http://www.unionealtavallecamonica.bs.it/Pages/amministrazione_trasparente_v3_0/
ISTITUTO COMPRENSIVO - I.C. DON RAFFELLI PROVAGLIO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Brescia,Provaglio d'Iseo,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/BSIC85000A/3/0/0/show
COMUNITA' MONTANA SEBINO BRESCIANO,Comunita` Montane e loro Consorzi e Associazioni,Lombardia,Brescia,Sale Marasino,positivo,17/03/2019 02:05:14,x,http://www.cmsebino.bs.it/Pages/amministrazione_trasparente_v3_0/
Comune di Sale Marasino,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Sale Marasino,positivo,17/03/2019 02:05:14,x,http://www.comune.sale-marasino.bs.it/Pages/amministrazione_trasparente_v3_0/?Codice=AT
ISTITUTO COMPRENSIVO - L.EINAUDI - SALE MARASINO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Brescia,Sale Marasino,positivo,17/03/2019 02:05:14,x,http://icsalemarasino.alboedu.it/pages/amministrazione_trasparente_v3_0/
Autorita' di Bacino Laghi Garda e Idro,Autorita` di Bacino,Lombardia,Brescia,Salo`,positivo,17/03/2019 02:05:14,x,https://consorziogardaidro.etrasparenza.it/
Comune di San Felice del Benaco,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,San Felice del Benaco,positivo,17/03/2019 02:05:14,x,http://sanfelice.apps.ckube.it/Pages/Amministrazione_trasparente_v2_0/?Codice=AT
Comune di Saviore dell'Adamello,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Saviore dell'Adamello,positivo,17/03/2019 02:05:14,x,http://www.comune.saviore-delladamello.bs.it/Pages/amministrazione_trasparente_v3_0/
Comune di Sellero,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Sellero,positivo,17/03/2019 02:05:14,x,http://www.sellero.gov.it/Pages/amministrazione_trasparente_v3_0/
Comune di Sonico,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Sonico,positivo,17/03/2019 02:05:14,x,http://www.comune.sonico.bs.it/Pages/amministrazione_trasparente_v3_0/
Comune di Sulzano,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Sulzano,positivo,17/03/2019 02:05:14,x,http://www.comune.sulzano.bs.it/Pages/amministrazione_trasparente_v3_0/
Comune di Temu',Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Temu`,positivo,17/03/2019 02:05:14,x,http://www.comune.temu.bs.it/Pages/amministrazione_trasparente_v3_0/
Servizi Energia Valle Sabbia Srl,Gestori di Pubblici Servizi,Lombardia,Brescia,Vestone,positivo,17/03/2019 02:05:14,x,http://esco.etrasparenza.it/
Comune di Vezza d'Oglio,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Vezza d'Oglio,positivo,17/03/2019 02:05:14,x,http://www.comune.vezza-d-oglio.bs.it/Pages/amministrazione_trasparente_v2_0/
Comune di Vione,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Vione,positivo,17/03/2019 02:05:14,x,http://www.comune.vione.bs.it/Pages/amministrazione_trasparente_v3_0/
Comune di Zone,Comuni e loro Consorzi e Associazioni,Lombardia,Brescia,Zone,positivo,17/03/2019 02:05:14,x,http://www.comune.zone.bs.it/Pages/amministrazione_trasparente_v3_0/
ISTITUTO COMPRENSIVO - I.C. APPIANO GENTILE,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Como,Appiano Gentile,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/COIC82700G/4
ISTITUTO COMPRENSIVO - IST. COMP. COMO CENTRO CITTA',Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Como,Como,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/COIC852008/4/0/0/show
ISTITUTO COMPRENSIVO - I.C. FENEGRO',Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Como,Fenegro`,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/COIC82200C/4
ISTITUTO COMPRENSIVO - I.C. INVERIGO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Como,Inverigo,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/COIC824004/5
ISTITUTO COMPRENSIVO - I.C. LOMAZZO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Como,Lomazzo,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/COIC83500E/4
ISTITUTO COMPRENSIVO - I.C. UGGIATE TREVANO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Como,Uggiate-Trevano,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/COIC83300V/6/0/0/show
ISTITUTO COMPRENSIVO - IC CASALBUTTANO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Cremona,Casalbuttano ed Uniti,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/CRIC810009/4#new_tab
ISTRUZIONE SECONDARIA SUPERIORE - 'G. GALILEI',Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Cremona,Crema,positivo,17/03/2019 02:05:14,x,http://www.galileicrema.it/trasparenza/amministrazione-trasparente
Istituto Comprensivo Crema Uno,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Cremona,Crema,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/CRIC82700P/4
ISTITUTO MAGISTRALE - 'S. ANGUISSOLA',Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Cremona,Cremona,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/CRPM02000E/3
LICEO CLASSICO - 'D. MANIN',Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Cremona,Cremona,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/CRPC02000A/4#new_tab
ISTITUTO COMPRENSIVO - IC 'GIACOMO BERTESI' (SORESINA),Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Cremona,Soresina,positivo,17/03/2019 02:05:14,x,http://www.icbertesi.gov.it/trasparenza/amministrazione-trasparente
ISTITUTO COMPRENSIVO - DI CALOLZIOCORTE,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Lecco,Calolziocorte,positivo,17/03/2019 02:05:14,x,http://istitutocomprensivocalolziocorte.istruzioneweb.it/
ISTRUZIONE SECONDARIA SUPERIORE - I.S. DI CALOLZIOCORTE,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Lecco,Calolziocorte,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/LCIS008004/3
"Camera di Commercio, Industria, Artigianato e Agricoltura di Lecco","Camere di Commercio, Industria, Artigianato e Agricoltura e loro Unioni Regionali",Lombardia,Lecco,Lecco,positivo,17/03/2019 02:05:14,x,http://www.lc.camcom.gov.it/P42A0C240S6/Amministrazione-trasparente.htm
Consiglio dell'Ordine degli Avvocati di Lecco,"Federazioni Nazionali, Ordini, Collegi e Consigli Professionali",Lombardia,Lecco,Lecco,positivo,17/03/2019 02:05:14,x,https://ordineavvocati.lecco.it/ordine/amministrazione-trasparente/
ISTRUZIONE SECONDARIA SUPERIORE - IS GIOVANNI BERTACCHI LECCO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Lecco,Lecco,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/LCIS00600C/7/0/0/show
ISTRUZIONE SECONDARIA SUPERIORE - ISTITUTO SUPERIORE P. A. FIOCCHI,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Lecco,Lecco,positivo,17/03/2019 02:05:14,x,https://www.istitutofiocchi.gov.it/trasparenza/amministrazione-trasparente
LICEO CLASSICO - ALESSANDRO MANZONI,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Lecco,Lecco,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/LCPC01000A/11
LICEO SCIENTIFICO - LS G. B. GRASSI,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Lecco,Lecco,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/LCPS01000D/3
ISTITUTO COMPRENSIVO - I.C. MOLTENO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Lecco,Molteno,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/LCIC822006/4 
ISTITUTO COMPRENSIVO - DUCA DEGLI ABRUZZI,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Lodi,Borghetto Lodigiano,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/LOIC80400A/3
Liceo Statale Maffeo Vegio,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Lodi,Lodi,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/LOPM010008/3
Provincia di Lodi,Province e loro Consorzi e Associazioni,Lombardia,Lodi,Lodi,positivo,17/03/2019 02:05:14,x,http://www.provincia.lodi.it/template.php?pag=409
Ufficio D'Ambito di Lodi,Enti di Regolazione dei Servizi Idrici e o dei Rifiuti,Lombardia,Lodi,Lodi,positivo,17/03/2019 02:05:14,x,http://www.provincia.lodi.it/template.php?pag=409
Comune di Borgo Mantovano,Comuni e loro Consorzi e Associazioni,Lombardia,Mantova,Borgo Mantovano,positivo,17/03/2019 02:05:14,x,https://www.comuneweb.it/egov/BorgoMantovano/ammTrasparente.html
Comune di Revere,Comuni e loro Consorzi e Associazioni,Lombardia,Mantova,Borgo Mantovano,positivo,17/03/2019 02:05:14,x,http://www.comuneweb.it/egov/Revere/ammTrasparente.html
Comune di Ceresara,Comuni e loro Consorzi e Associazioni,Lombardia,Mantova,Ceresara,positivo,17/03/2019 02:05:14,x,http://www.comuneweb.it/egov/Ceresara/ammTrasparente.html
ISTITUTO COMPRENSIVO DI CURTATONE,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Mantova,Curtatone,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/MNIC812006/3#new_tab
Comune di Guidizzolo,Comuni e loro Consorzi e Associazioni,Lombardia,Mantova,Guidizzolo,positivo,17/03/2019 02:05:14,x,http://www.comuneweb.it/egov/Guidizzolo/ammTrasparente.html
Comune di Poggio Rusco,Comuni e loro Consorzi e Associazioni,Lombardia,Mantova,Poggio Rusco,positivo,17/03/2019 02:05:14,x,http://www.comuneweb.it/egov/Poggiorusco/ammTrasparente.html
